Technical name;Token ID
SILVER_VELOCIRAPTOR;37671473126718135918048021936183207198338348962058761333129169508312071274496
SILVER_MAMMOTH;37671473126718135861456121653370719090877333242487619770344904124817997824000
SILVER_SABRETOOTH_TIGER;37671473126718135899117680331113700801315551075038691303882487400362112188416
SILVER_GORILLA;37671473126718135824137267646053104632182825995029095901808296307841088618496
SILVER_HIPPO;37671473126718135830267060870534157991459141191520294816962952071625895313408
BRONZE_T_REX_NAKED;29998076816151290032466297487834977505353455943647964912659442559643446935552
BRONZE_T_REX;29998076816151290032466297487290878236087872908858820104427701852705151516672
BRONZE_TRICERATOPS;29998076816151290032146675610461261004423614377260363783179716481337043976192
BRONZE_DILOPHOSAURUS;29998076816151289931492660335056363243636965289147071320152918874757428936704
BRONZE_STEGOSAURUS;29998076816151290025918232119695474290904922906801056472550238668911487746048
BRONZE_VELOCIRAPTOR;29998076816151290044382411838407453150532666051713312440690341616626660540416
BRONZE_MAMMOTH;29998076816151289987790511555594965043071650332142170877906076233132587089920
BRONZE_SABRETOOTH_TIGER;29998076816151290025452070233337946753509868164693242411443659508676701454336
BRONZE_GORILLA;29998076816151289950471657548277350584377143084683647009369468416155677884416
BRONZE_HIPPO;29998076816151289956601450772758403943653458281174845924524124179940484579328
RAINBOW_T_REX_NAKED;37205004580380844944077069710020699624227882922189500188067949185605459509248
RAINBOW_T_REX;37205004580380844944077069710018574236457314238459855091160793948468981792768
RAINBOW_TRICERATOPS;37205004580380844944075821187062208544146125728570798621155919005612075122688
RAINBOW_DILOPHOSAURUS;37205004580380844943682641439892658162268052880570356072472220577461373501440
RAINBOW_STEGOSAURUS;37205004580380844944051491329676404689796443340014316951973772607907287793664
RAINBOW_VELOCIRAPTOR;37205004580380844944123617031702623357216864211674130451849319885046800187392
RAINBOW_MAMMOTH;37205004580380844943902554921222887075547094619019555680119693848392526462976
RAINBOW_SABRETOOTH_TIGER;37205004580380844944049670384807820597853493907427958303297575033062620659712
RAINBOW_GORILLA;37205004580380844943756778147756802644067819200084170821258222724107460411392
RAINBOW_HIPPO;37205004580380844943780722652539931758752492306320464567020545598184744812544
8_BIT_T_REX;25497827484037307953956082842189097789197889279970915450543507133431841554432
8_BIT_TRICERATOPS;25497827484037307872132882373807086483147705190766097211059252063196311191552
8_BIT_DILOPHOSAURUS;25497827484037282104704971870153259721765538633763226676199064778814861082624
8_BIT_STEGOSAURUS;25497827484037306277651348737765687822362688753183425689912932082253916274688
8_BIT_VELOCIRAPTOR;25497827484037311004481356728032275887064933850720953533779286697338151632896
8_BIT_MAMMOTH;25497827484037296516954884328035320377044909640508713461007348522855348305920
8_BIT_SABRETOOTH_TIGER;25497827484037306158313905830238638249228674773583026046628667062148625596416
8_BIT_GORILLA;25497827484037286963328258454726018951251054291126603115635747376766591696896
8_BIT_HIPPO;25497827484037288532555323921875678925987744592873525395227622905677105594368
8_BIT_SELECT_PLAYER_1;25497827484037306183666266157499477127579520586003162607438604691983105523712
8_BIT_SELECT_PLAYER_2;25497827484037306183666266157499477127579520586003472092448426037051830304768
8_BIT_SELECT_PLAYER_3;25497827484037306183666266157499477127579520586003781577458247382120555085824
8_BIT_SELECT_PLAYER_4;25497827484037306183666266157499477127579520586004091062468068727189279866880
8_BIT_SELECT_PLAYER_5;25497827484037306183666266157499477127579520586004400547477890072258004647936
VELOCIRAPTOR;39021344095274846885460869251563891779660389020697117223971270270446104215552
DILOPHOSAURUS;30886780210403809139417277122150417081692834761976825676620461344883338117120
TRICERATOPS;38139666381406332497384129939119814272265299072318874051719486434877676453888
STEGOSAURUS;37690859728860556683193424408270207247659401777397218211480503019880373551104
TYRANNOSAUR;38152096373603196579436431239368171453954702254958304129423885375546452869120
TYRANNOSAUR_WITH_LASER_EYES;38152096373603196579436431378709144493910667543689097976410732455764066041856
MAMMAL_KING;34943467917383419806919378417743946028220184084949606124500626265524135788544
CYBERSHARK;30462667628009200682904470240721547006801735716832135818318333163438426030080
DIAMOND;30886704237171238875161861937274451221838328880522854013500776440187488043008
